years_experience,portfolio_score,school_tier,gender,ethnicity,interviewed
8,91,1,Male,White,1
6,84,1,Female,White,1
5,79,2,Male,Asian,1
7,88,1,Female,Asian,1
4,74,2,Male,Latinx,1
3,68,3,Female,Black,0
2,62,3,Female,Latinx,0
6,81,2,Male,White,1
5,76,2,Female,Black,0
9,94,1,Male,Asian,1
4,71,2,Female,Latinx,0
7,86,1,Male,White,1
3,66,3,Male,Black,0
5,80,2,Female,Asian,1
2,59,3,Female,Black,0
6,77,2,Male,Latinx,1
4,73,2,Female,White,1
1,55,3,Male,Latinx,0
8,90,1,Female,White,1
3,64,3,Female,Asian,0
5,72,2,Male,Black,0
7,83,1,Female,Latinx,1
2,61,3,Male,Asian,0
6,78,2,Female,Black,0
9,96,1,Male,White,1
4,70,2,Female,Latinx,0
5,75,2,Male,Asian,1
3,67,3,Female,Black,0
7,85,1,Male,Latinx,1
6,82,1,Female,White,1
